Catégorie,Question,Réponse
Calcul,-1,-1
Calcul,0,0
Calcul,1,1
Calcul,2,2
Calcul,3,3
Calcul,4,4
Calcul,5,5
Calcul,6,6
Calcul,7,7
Calcul,8,8
Calcul,9,9
Calcul,10,10
Calcul,11,11
Calcul,12,12
Calcul,6*7-2-4*5*2,0
Calcul,15*2-4*8-1,1
Calcul,Le chiffre des dizaines de millions dans 113 456 789,1
Calcul,7/7,1
Calcul,Le plus grand entier strictement inférieur à 3,2
Calcul,Le nombre de dizaines de milliers dans 23 578,2
Calcul,2+7/7,3
Calcul,La moitié de six,3
Calcul,Chiffre des unités de milliers dans 123 645,3
Calcul,Le plus grand entier inférieur à 4,4
Calcul,3*3+1-6,4
Calcul,Le tiers de 15,5
Calcul,25/5,5
Calcul,Le chiffre des centaines dans 456 567,5
Calcul,Le plus petit entier strictement supérieur à 7,6
Calcul,Le plus petit entier strictement supérieur à 5,6
Calcul,Le plus grand entier inférieur à 7,7
Calcul,8*8/8,8
Calcul,Le nombre de centaines dans 935,9
Calcul,Le nombre de centaines dans 1045,10
Calcul,Le nombre d’unités de mille dans 11297,11
Calcul,Le nombre d’unités dans 12,12
Calcul,3*4,12
Calcul,Nombre de dizaines de milliers dans 123 456,12
